feature_id,feature_name,state_name,county_name,prim_lat_dec,prim_long_dec,enter_m,exit_m,exit_consec_points
905001,Cerro San Patricio,New Mexico,Lincoln,33.4116191,-105.3166376,80,120,5
905002,Tecolote Peak,New Mexico,Lincoln,34.0778436,-105.688828,80,120,5
905003,Cerro Tejano,New Mexico,San Miguel,35.1845753,-105.4963452,80,120,5
905004,Cerro Tinaja,New Mexico,Sandoval,35.4863291,-107.1614242,80,120,5
905006,Cerro Venada,New Mexico,Cibola,35.2798896,-107.6069879,80,120,5
905007,Cerro Vista,New Mexico,Taos,36.2354916,-105.4107085,80,120,5
905011,Cerros Oso,New Mexico,San Miguel,35.4668917,-105.588084,80,120,5
905020,Chamisa Mesa,New Mexico,Sandoval,35.5953506,-106.6642524,80,120,5
905032,Chaperito Knob,New Mexico,San Miguel,35.717145,-105.6406708,80,120,5
905041,Chateau Hill,New Mexico,Colfax,36.236691,-104.1302444,80,120,5
905043,Chatfield Peak,New Mexico,Otero,32.545698,-105.5091171,80,120,5
905081,Cherry Mountain,New Mexico,Sierra,33.1577359,-107.7957533,80,120,5
905106,Chimney Peak,New Mexico,Chaves,32.6928584,-105.3297987,80,120,5
905107,Chimney Rock,New Mexico,Catron,33.5961439,-108.9906788,80,120,5
905108,Chimney Rock,New Mexico,Lincoln,33.6109845,-105.2464623,80,120,5
905115,Chino Peak,New Mexico,Rio Arriba,36.9327514,-106.1142868,80,120,5
905122,Chocolate Peak,New Mexico,Grant,32.5997531,-108.5290572,80,120,5
905127,Chosa Mesa,New Mexico,Rio Arriba,36.6238927,-107.2166991,80,120,5
905139,Chupadero Mountain,New Mexico,Lincoln,33.8910926,-105.6083028,80,120,5
905143,Church Mountain,New Mexico,Lincoln,33.5479235,-105.7613178,80,120,5
905164,Cimarron Mesa,New Mexico,Catron,34.2626488,-108.8375415,80,120,5
905168,Circle Mesa,New Mexico,Grant,32.8560448,-108.4522818,80,120,5
905172,Ciruela Mesa,New Mexico,Guadalupe,35.1950442,-105.2783298,80,120,5
905183,Clark Peak,New Mexico,Grant,32.77179,-108.6792123,80,120,5
905198,Clayton Mesa,New Mexico,Catron,33.386761,-108.4927584,80,120,5
905227,Cobb Mountain,New Mexico,Sierra,33.2457554,-107.7496832,80,120,5
905309,Cooney Peak,New Mexico,Catron,33.4152533,-108.7463324,80,120,5
905310,Cooney Point,New Mexico,Catron,33.4257959,-108.2980404,80,120,5
905328,Copper Hill,New Mexico,Taos,36.2192372,-105.7860341,80,120,5
905329,Copper Mountain (historical),New Mexico,Grant,32.6456335,-108.3806043,80,120,5
905333,Copperas Peak,New Mexico,Grant,33.1119911,-108.2022804,80,120,5
905346,Corner Mountain,New Mexico,Catron,33.471866,-108.6481056,80,120,5
905357,Corona Hill,New Mexico,Otero,32.4733604,-104.897003,80,120,5
905373,Corral Hill,New Mexico,Sandoval,35.7785967,-106.2964897,80,120,5
905422,Cottonwood Draw Mesa,New Mexico,Socorro,34.4965522,-107.4881718,80,120,5
905436,Cougar Mountain,New Mexico,Lincoln,34.2580052,-105.7181285,80,120,5
905451,Cow Mountain,New Mexico,Otero,33.3717771,-105.74893,80,120,5
905476,Coyote Mesa,New Mexico,Lincoln,33.4364794,-105.6603988,80,120,5
905483,Cradle Mesa,New Mexico,Catron,33.4521504,-108.9836039,80,120,5
905518,Crookson Peak,New Mexico,Grant,32.89536,-108.9661624,80,120,5
905522,Cross Mountain,New Mexico,Grant,32.8697543,-108.2056137,80,120,5
905524,Cross-O Mountain,New Mexico,Sierra,32.9309989,-107.7756248,80,120,5
905537,Cub Mesa,New Mexico,Catron,33.2873623,-108.5350023,80,120,5
905538,Cub Mountain,New Mexico,Catron,33.3034822,-108.5691258,80,120,5
905546,Cuchilla Del Ojo,New Mexico,Taos,36.3209053,-105.600366,80,120,5
905549,Cuchillo de Fernando,New Mexico,Taos,36.2706605,-105.3564044,80,120,5
905550,Cuchillo del Medio,New Mexico,Taos,36.542661,-105.5383535,80,120,5
905557,Culp Peak,New Mexico,Otero,32.6072414,-105.7447326,80,120,5
905572,D Cross Mountain,New Mexico,Socorro,34.4777221,-107.7238867,80,120,5
905632,Wallace Hill,New Mexico,Catron,34.1812241,-107.8709141,80,120,5
905637,Deadhorse Hill,New Mexico,Lincoln,33.3164823,-105.494998,80,120,5
905693,Deer Hill,New Mexico,Eddy,32.0807169,-104.8068348,80,120,5
905694,Deer Hill,New Mexico,Sierra,32.8387431,-107.6417659,80,120,5
905695,Deer Hill,New Mexico,Cibola,35.0294473,-107.9761805,80,120,5
905698,Deer Mountain,New Mexico,Rio Arriba,36.0141795,-106.7960973,80,120,5
905702,Deer Peak,New Mexico,Grant,32.904509,-108.8992391,80,120,5
905717,Denny Hill,New Mexico,Otero,32.8398143,-105.5427498,80,120,5
905740,Devils Mesa,New Mexico,Rio Arriba,36.724385,-107.2655019,80,120,5
905743,Devils Spring Mesa,New Mexico,Rio Arriba,36.6732661,-107.4911842,80,120,5
905745,Devisadero Peak,New Mexico,Taos,36.3893449,-105.5340181,80,120,5
905756,Diamond Peak,New Mexico,Sierra,33.2294299,-107.8446227,80,120,5
905767,Dillon Mountain,New Mexico,Catron,33.8512239,-108.7982249,80,120,5
905770,Dinner Hill,New Mexico,Eddy,32.1434036,-104.6544089,80,120,5
905823,Dorsey Mesa,New Mexico,Grant,32.9919921,-108.3853247,80,120,5
905826,Dos Lomas,New Mexico,McKinley,35.3539699,-107.8601779,80,120,5
905888,Dry Mesa,New Mexico,Catron,33.6982844,-108.6876182,80,120,5
905891,Dry Point,New Mexico,Rio Arriba,36.7263966,-107.3083784,80,120,5
905899,Dude Mesa,New Mexico,Lincoln,33.3094936,-105.6582449,80,120,5
905932,Eagle Eye Peak,New Mexico,Grant,32.5732204,-108.5401005,80,120,5
905937,Eagle Peak,New Mexico,Catron,33.6767893,-108.5769108,80,120,5
905938,Eagle Peak,New Mexico,Mora,35.9477207,-105.3263285,80,120,5
905946,Eagles Roost,New Mexico,Sierra,33.4607356,-107.3245569,80,120,5
905956,East Carrizo Cone,New Mexico,Lincoln,33.6508502,-105.6150393,80,120,5
905962,East Elk Mountain,New Mexico,Catron,33.4967343,-108.264809,80,120,5
905990,East Sugarloaf Mountain,New Mexico,Catron,34.1564883,-107.9035499,80,120,5
906012,Eckleberger Hill,New Mexico,Catron,33.5900542,-108.5025485,80,120,5
906025,Eighty Mountain,New Mexico,Grant,32.8472903,-108.2998872,80,120,5
906026,El Aguila,New Mexico,San Miguel,35.1982895,-105.30865,80,120,5
906041,El Cerrito de la Chimaja,New Mexico,San Miguel,35.1290572,-105.4013853,80,120,5
906042,El Cerrito Santa Cruz,New Mexico,San Miguel,35.136104,-105.3373482,80,120,5
906046,El Dado Mesa,New Mexico,McKinley,35.4724223,-107.4428595,80,120,5
906051,El Lagunito Palo Quemador,New Mexico,Rio Arriba,36.0979309,-106.4055768,80,120,5
906099,El Sentinel Peak,New Mexico,Lincoln,33.4003595,-105.3353425,80,120,5
906101,El Toro,New Mexico,Guadalupe,35.1325461,-105.2627743,80,120,5
906112,Elephant Back Mountain,New Mexico,Grant,32.7926589,-108.726668,80,120,5
906113,Elephant Mountain,New Mexico,Socorro,34.0684388,-107.2253417,80,120,5
906128,Elk Mountain,New Mexico,Catron,33.5725277,-108.4204118,80,120,5
906129,Elk Mountain,New Mexico,San Miguel,35.7670945,-105.5536158,80,120,5
906182,Escobas Mesa,New Mexico,Los Alamos,35.8198111,-106.3469841,80,120,5
906188,Escondido Mountain,New Mexico,Catron,34.1971207,-108.4649683,80,120,5
906206,Eureka Mesa,New Mexico,Rio Arriba,36.0136585,-106.8447515,80,120,5
906231,Fangio Mesa,New Mexico,Santa Fe,35.513895,-105.7983196,80,120,5
906242,Feathery Hill,New Mexico,Catron,33.5054514,-108.5064157,80,120,5
906259,Ferguson Mountain,New Mexico,Grant,32.595774,-108.4383093,80,120,5
906266,Fierro Hill,New Mexico,Grant,32.8444058,-108.0657408,80,120,5
906267,Fifty-fifty Hill,New Mexico,Sierra,33.3884872,-107.3852173,80,120,5
906283,Fisher Hill,New Mexico,San Miguel,35.5761977,-105.4373563,80,120,5
906293,Flag Mountain,New Mexico,Taos,36.6519652,-105.5513858,80,120,5
906295,Flagpole Mountain,New Mexico,Sierra,33.0828879,-107.7370737,80,120,5
906296,Flat Mesa,New Mexico,McKinley,35.3539699,-107.8601565,80,120,5
906299,Flat Top Mesa,New Mexico,Catron,33.6387343,-108.6571661,80,120,5
906331,Fork Rock Mesa,New Mexico,Sandoval,35.9342839,-107.1037076,80,120,5
906338,Fort Stanton Mesa,New Mexico,Lincoln,33.4297265,-105.6025595,80,120,5
906357,Fourmile Mesa,New Mexico,Rio Arriba,36.6454745,-107.377434,80,120,5
906364,Fox Mountain,New Mexico,Catron,34.0777323,-108.7049633,80,120,5
906372,Frances Mesa,New Mexico,Rio Arriba,36.7662104,-107.5367076,80,120,5
906380,Franks Mountain,New Mexico,Sierra,33.3660687,-107.8160565,80,120,5
906384,Fraser Mountain,New Mexico,Taos,36.5847262,-105.4255108,80,120,5
906390,Freeman Mountain,New Mexico,Catron,33.9069921,-108.7756123,80,120,5
906408,Frijoles Mesa,New Mexico,Los Alamos,35.8052977,-106.2947396,80,120,5
